instituicao_id,instituicao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
14814026000188,FUNDO MUNICIPAL DE SAUDE DE SERRA,378,30698319.5855,143942590.0,1,63,0.21326780062454065
46522983000127,MUNICIPIO DE SANTANA DE PARNAIBA,466,30670950.016,70571984.0,1,67,0.4346051829292485
11308894000106,FUNDO MUNICIPAL DE SAUDE,433,30542978.3013,14059012.0,1,122,2.1724839769181505
18663401000197,MUNICIPIO DE GUAXUPE,1602,30332679.1687,81564596.0,1,84,0.37188536026954633
11364895000160,FUNDO MUNICIPAL DE SAUDE DE VARZEA GRANDE,258,29937970.1632,38678752.0,1,39,0.7740159290351457
12157728000100,FUNDO MUNICIPAL DE SAUDE DE VILA VELHA,459,29819038.9565,168927514.0,1,118,0.17651972879030234
10435993000188,FUNDO MUNICIPAL DE SAUDE DE SAO JOAO DE MERITI,250,28703111.29,14716362.0,1,18,1.9504216660340374
46435921000188,MUNICIPIO DE DIVINOLANDIA,554,27911338.8,5145060.0,1,57,5.424881109258201
02973240000106,ESTADO DO MARANHAO - SECRETARIA DE ESTADO DA SAUDE,36,27798302.74,1377174.0,1,16,20.18503307497818
00204125000133,SECRETARIA MUNICIPAL DE SAUDE,249,27448618.31,73464725.0,1,74,0.3736299061896713
12625868000166,FUNDO MUNICIPAL DE SAUDE,677,27324733.61,94427585.0,1,48,0.2893723651833307
04092714000128,MUNICIPIO DE CACOAL,1139,26847410.5801,28839033.0,1,100,0.9309400415783705
46189718000179,MUNICIPIO DE PEDERNEIRAS,2028,26689029.6032,96012782.0,1,227,0.27797371399153914
