fabricante_id,fabricante,ocorrencias,rotulo
53393690000152,QUIMESP QUIMICA LTDA.,7,QUIMESP QUIMICA LTDA. [M1924]
53402541000102,FREEDOM COSMETICOS LTDA,4,FREEDOM COSMETICOS LTDA [M1925]
53452157000114,COLLECT IMPORTACAO E COMERCIO LTDA,3,COLLECT IMPORTACAO E COM [M1926]
53595670000164,GLOBAL SUPLEMENTOS COMERCIO LTDA,1,GLOBAL SUPLEMENTOS COMER [M1927]
53859989000150,FABRICA DE ELASTICOS SAO JOSE LTDA,2,FABRICA DE ELASTICOS SAO [M1928]
53918116000170,DIGUINHO INDUSTRIA E COMERCIO DE FRALDAS LTDA,5,DIGUINHO INDUSTRIA E COM [M1929]
54037700000180,ALEXANDRE A DE SOUZA,1,ALEXANDRE A DE SOUZA [M1930]
54102488000197,CIRCUIT EQUIPAMENTOS ESPORTIVOS LTDA,2,CIRCUIT EQUIPAMENTOS ESP [M1931]
54103981000121,DAKON COMERCIO DE COSMETICOS LTDA,1,DAKON COMERCIO DE COSMET [M1932]
54178983000180,HOSPIMETAL INDUST METALURG DE EQUIP HOSPITALARES LTDA,2,HOSPIMETAL INDUST METALU [M1933]
54375647020071,DROGAL FARMACEUTICA LTDA,1,DROGAL FARMACEUTICA LTDA [M1934]
54421953000152,ORTOCENTER APARELHOS ORTOPEDICOS LTDA,14,ORTOCENTER APARELHOS ORT [M1935]
54433057000103,BIOFARMA FARMACEUTICA LTDA,8,BIOFARMA FARMACEUTICA LT [M1936]
54447453000190,MOPAPE COMERCIO DE ARAMES E PLASTICOS LTDA,3,MOPAPE COMERCIO DE ARAME [M1937]
54516661000101,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,27,JOHNSON & JOHNSON DO BRA [M1938]
54516661006215,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,32,JOHNSON & JOHNSON DO BRA [M1939]
54516661008005,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,13,JOHNSON & JOHNSON DO BRA [M1940]
54565478000198,SISPACK MEDICAL LTDA.,31,SISPACK MEDICAL LTDA. [M1941]
54741095000123,CIRUVET MANUTENCAO EM EQUIPAMENTOS EM GERAL LTDA,17,CIRUVET MANUTENCAO EM EQ [M1942]
54801196000142,HP BIOPROTESES LTDA,3,HP BIOPROTESES LTDA [M1943]
54858014000170,ESSITY SOLUCOES MEDICAS DO BRASIL COMERCIO E DISTRIBUICAO LTDA.,25,ESSITY SOLUCOES MEDICAS  [M1944]
54858014000501,ESSITY SOLUCOES MEDICAS DO BRASIL COMERCIO E DISTRIBUICAO LTDA.,8,ESSITY SOLUCOES MEDICAS  [M1945]
55119259000148,TENA S A,16,TENA S A [M1946]
55126981000100,GFE DO BRASIL LIMITADA,4,GFE DO BRASIL LIMITADA [M1947]
55163042000135,SEMINA INDUSTRIA E COMERCIO LTDA,17,SEMINA INDUSTRIA E COMER [M1948]
